"","term","contrast","null.value","estimate","conf.low","conf.high","adj.p.value"
"66","treatment:as.factor(date)","control:2021-10-12-hot:2021-10-05",0,-11.6309374999999,-12.9113891810511,-10.3504858189488,0
"67","treatment:as.factor(date)","cold:2021-10-18-hot:2021-10-05",0,-22.1574999999998,-23.3263871158451,-20.9886128841546,0
"68","treatment:as.factor(date)","control:2021-10-18-hot:2021-10-05",0,-11.1958333333333,-12.3647204491785,-10.026946217488,0
"69","treatment:as.factor(date)","cold:2021-10-19-hot:2021-10-05",0,-22.3848749999998,-23.4561777374437,-21.313572262556,0
"70","treatment:as.factor(date)","control:2021-10-19-hot:2021-10-05",0,-11.1569999999999,-12.2283027374438,-10.085697262556,0
"71","treatment:as.factor(date)","control:2021-10-11-cold:2021-10-11",0,11.6156666666666,10.2932218569774,12.9381114763558,0
"72","treatment:as.factor(date)","hot:2021-10-11-cold:2021-10-11",0,24.4555624999998,23.153944894445,25.7571801055547,0
"73","treatment:as.factor(date)","control:2021-10-12-cold:2021-10-11",0,10.9736874999999,9.67206989444505,12.2753051055548,0
"74","treatment:as.factor(date)","hot:2021-10-12-cold:2021-10-11",0,24.6480624999998,23.346444894445,25.9496801055547,0
"75","treatment:as.factor(date)","control:2021-10-18-cold:2021-10-11",0,11.4087916666666,10.2167560240902,12.600827309243,0
"76","treatment:as.factor(date)","hot:2021-10-18-cold:2021-10-11",0,24.6173333333332,23.4252976907568,25.8093689759096,0
"77","treatment:as.factor(date)","control:2021-10-19-cold:2021-10-11",0,11.4476249999999,10.3511116900769,12.5441383099229,0
"78","treatment:as.factor(date)","hot:2021-10-19-cold:2021-10-11",0,24.8044999999998,23.7079866900768,25.9010133099228,0
"79","treatment:as.factor(date)","hot:2021-10-11-control:2021-10-11",0,12.8398958333333,11.5382782277784,14.1415134388881,0
"80","treatment:as.factor(date)","cold:2021-10-12-control:2021-10-11",0,-11.2669791666666,-12.5685967722214,-9.96536156111172,0
"81","treatment:as.factor(date)","hot:2021-10-12-control:2021-10-11",0,13.0323958333333,11.7307782277784,14.3340134388881,0
"82","treatment:as.factor(date)","cold:2021-10-18-control:2021-10-11",0,-11.1685416666666,-12.360577309243,-9.97650602409015,0
"83","treatment:as.factor(date)","hot:2021-10-18-control:2021-10-11",0,13.0016666666666,11.8096310240902,14.193702309243,0
"84","treatment:as.factor(date)","cold:2021-10-19-control:2021-10-11",0,-11.3959166666666,-12.4924299765896,-10.2994033567436,0
"85","treatment:as.factor(date)","hot:2021-10-19-control:2021-10-11",0,13.1888333333333,12.0923200234102,14.2853466432563,0
"86","treatment:as.factor(date)","cold:2021-10-12-hot:2021-10-11",0,-24.1068749999998,-25.387326681051,-22.8264233189487,0
"87","treatment:as.factor(date)","control:2021-10-12-hot:2021-10-11",0,-13.4818749999999,-14.7623266810511,-12.2014233189487,0
"88","treatment:as.factor(date)","cold:2021-10-18-hot:2021-10-11",0,-24.0084374999998,-25.1773246158451,-22.8395503841546,0
"89","treatment:as.factor(date)","control:2021-10-18-hot:2021-10-11",0,-13.0467708333333,-14.2156579491785,-11.877883717488,0
"90","treatment:as.factor(date)","cold:2021-10-19-hot:2021-10-11",0,-24.2358124999998,-25.3071152374437,-23.1645097625559,0
"91","treatment:as.factor(date)","control:2021-10-19-hot:2021-10-11",0,-13.0079374999999,-14.0792402374438,-11.936634762556,0
"92","treatment:as.factor(date)","control:2021-10-12-cold:2021-10-12",0,10.6249999999999,9.34454831894873,11.9054516810511,0
"93","treatment:as.factor(date)","hot:2021-10-12-cold:2021-10-12",0,24.2993749999998,23.0189233189487,25.579826681051,0
"94","treatment:as.factor(date)","control:2021-10-18-cold:2021-10-12",0,11.0601041666666,9.89121705082135,12.2289912825118,0
"95","treatment:as.factor(date)","hot:2021-10-18-cold:2021-10-12",0,24.2686458333332,23.0997587174879,25.4375329491784,0
"96","treatment:as.factor(date)","control:2021-10-19-cold:2021-10-12",0,11.0989374999999,10.027634762556,12.1702402374438,0
"97","treatment:as.factor(date)","hot:2021-10-19-cold:2021-10-12",0,24.4558124999998,23.384509762556,25.5271152374437,0
"98","treatment:as.factor(date)","hot:2021-10-12-control:2021-10-12",0,13.6743749999999,12.3939233189487,14.9548266810511,0
"99","treatment:as.factor(date)","cold:2021-10-18-control:2021-10-12",0,-10.5265624999999,-11.6954496158452,-9.35767538415467,0
"100","treatment:as.factor(date)","hot:2021-10-18-control:2021-10-12",0,13.6436458333333,12.474758717488,14.8125329491785,0
