"","term","contrast","null.value","estimate","conf.low","conf.high","adj.p.value"
"19","treatment:as.factor(date)","control:2021-10-19-control:2021-10-18",0,-2.02229166666669,-6.07310940322746,2.02852606989409,0.932893865028481
"20","treatment:as.factor(date)","hot:2021-10-12-cold:2021-10-12",0,-2.8065625,-8.35337312664088,2.74024812664089,0.925717921570151
"21","treatment:as.factor(date)","hot:2021-10-19-hot:2021-10-11",0,-2.43618750000002,-7.07698222606487,2.20460722606484,0.902785696188342
"22","treatment:as.factor(date)","hot:2021-10-05-cold:2021-10-05",0,3.02906250000006,-2.51774812664083,8.57587312664094,0.872321687063204
"23","treatment:as.factor(date)","hot:2021-10-19-hot:2021-10-18",0,-2.3019166666667,-6.35273440322747,1.74890106989407,0.834829438716032
"24","treatment:as.factor(date)","hot:2021-10-19-cold:2021-10-11",0,-2.70495833333336,-7.45496317126759,2.04504650460087,0.832634049583176
"25","treatment:as.factor(date)","control:2021-10-18-control:2021-10-11",0,3.18691666666668,-1.9768830045161,8.35071633784947,0.733957320692762
"26","treatment:as.factor(date)","control:2021-10-12-cold:2021-10-05",0,3.5615624999999,-1.98524812664098,9.10837312664079,0.674949693603752
"27","treatment:as.factor(date)","hot:2021-10-12-hot:2021-10-11",0,-3.64000000000004,-9.18681062664092,1.90681062664085,0.639946691776954
"28","treatment:as.factor(date)","hot:2021-10-18-hot:2021-10-12",0,3.50572916666672,-1.55779300403425,8.56925133736768,0.547976308818585
"29","treatment:as.factor(date)","hot:2021-10-12-cold:2021-10-11",0,-3.90877083333338,-9.54727049181909,1.72972882515233,0.545722449862394
"30","treatment:as.factor(date)","hot:2021-10-19-cold:2021-10-19",0,2.97162499999995,-0.536486065962253,6.47973606596216,0.206631656494355
"31","as.factor(date)","2021-10-19-2021-10-12",0,1.86158333333337,-0.291260433490371,4.01442710015711,0.126235330708062
"32","treatment","hot-cold",0,1.35600989382238,-0.093840142374376,2.80585993001913,0.0724189008132361
"33","treatment:as.factor(date)","cold:2021-10-19-cold:2021-10-18",0,-3.92270833333332,-7.97352606989409,0.128109403227453,0.0693430501388366
"34","treatment:as.factor(date)","cold:2021-10-19-cold:2021-10-12",0,-4.57437499999993,-9.21516972606479,0.0664197260649226,0.0580951929749427
"35","as.factor(date)","2021-10-19-2021-10-11",0,-2.31754715390856,-4.50356458151607,-0.131529726301055,0.031458346588393
"36","treatment:as.factor(date)","cold:2021-10-19-hot:2021-10-11",0,-5.40781249999997,-10.0486072260648,-0.767017773935117,0.00702707964018234
"37","treatment:as.factor(date)","cold:2021-10-19-cold:2021-10-11",0,-5.67658333333331,-10.4265881712675,-0.926578495399085,0.00473174044380531
"38","treatment:as.factor(date)","cold:2021-10-19-hot:2021-10-18",0,-5.27354166666665,-9.32435940322742,-1.22272393010588,0.00104225714453787
"39","as.factor(date)","2021-10-19-2021-10-18",0,-2.74897222222224,-4.62812832143817,-0.869816123006306,0.000668029574301565
"40","treatment:as.factor(date)","control:2021-10-12-control:2021-10-11",0,-7.79068750000001,-13.4291871584857,-2.1521878415143,0.000306621356909398
"41","as.factor(date)","2021-10-12-2021-10-11",0,-4.17913048724193,-6.78008949196312,-1.57817148252074,0.000125701682642809
"42","treatment:as.factor(date)","control:2021-10-11-hot:2021-10-05",0,8.32318749999986,2.68468784151415,13.9616871584856,6.55656444078501e-05
"43","treatment:as.factor(date)","cold:2021-10-11-cold:2021-10-05",0,-8.70841666666663,-14.3469163251523,-3.06991700818092,2.01978926699375e-05
"44","treatment:as.factor(date)","hot:2021-10-11-cold:2021-10-05",0,-8.97718749999997,-14.5239981266409,-3.43037687335909,5.33579450157085e-06
"45","as.factor(date)","2021-10-18-2021-10-12",0,4.61055555555561,2.26161043153569,6.95950067957552,1.09435000128499e-06
"46","treatment:as.factor(date)","cold:2021-10-12-cold:2021-10-05",0,-9.81062500000001,-15.3574356266409,-4.26381437335913,3.00379869755396e-07
"47","treatment:as.factor(date)","hot:2021-10-18-cold:2021-10-05",0,-9.11145833333329,-14.1749805040343,-4.04793616263233,1.62026485561739e-07
"48","treatment:as.factor(date)","control:2021-10-19-control:2021-10-12",0,8.95531250000001,4.31451777393515,13.5961072260649,1.02705668414416e-08
"49","treatment:as.factor(date)","control:2021-10-11-cold:2021-10-05",0,11.3522499999999,5.7137503415142,16.9907496584856,1.20392096292221e-09
"50","treatment:as.factor(date)","control:2021-10-19-hot:2021-10-05",0,9.48781249999985,4.847017773935,14.1286072260647,3.31180860513314e-10
"51","treatment","control-cold",0,23.5170270270269,22.0639298422248,24.970124211829,0
"52","treatment","hot-control",0,-22.1610171332045,-23.6108671694013,-20.7111670970078,0
"53","as.factor(date)","2021-10-11-2021-10-05",0,-11.8571195127581,-14.4580785174793,-9.25616050803693,0
