Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit
82,10/1/2021,12:41:28,33.4,T1 KTemp C,33.3,T2 KTemp C,33.6,T3 KTemp C,33.5,T4 KTemp C
83,10/1/2021,12:42:28,33.5,T1 KTemp C,33.6,T2 KTemp C,33.6,T3 KTemp C,33.6,T4 KTemp C
84,10/1/2021,12:43:28,33.8,T1 KTemp C,33.8,T2 KTemp C,33.8,T3 KTemp C,33.9,T4 KTemp C
85,10/1/2021,12:44:28,34,T1 KTemp C,34,T2 KTemp C,34,T3 KTemp C,34,T4 KTemp C
86,10/1/2021,12:45:28,34.1,T1 KTemp C,34.2,T2 KTemp C,34.3,T3 KTemp C,34.2,T4 KTemp C
87,10/1/2021,12:46:28,34.2,T1 KTemp C,34.3,T2 KTemp C,34.3,T3 KTemp C,34.3,T4 KTemp C
88,10/1/2021,12:47:28,34.5,T1 KTemp C,34.5,T2 KTemp C,34.5,T3 KTemp C,34.6,T4 KTemp C
89,10/1/2021,12:48:28,35,T1 KTemp C,34.9,T2 KTemp C,35,T3 KTemp C,35.1,T4 KTemp C
90,10/1/2021,12:49:28,35,T1 KTemp C,35,T2 KTemp C,35.2,T3 KTemp C,35.1,T4 KTemp C
91,10/1/2021,12:50:28,35.4,T1 KTemp C,35.4,T2 KTemp C,35.2,T3 KTemp C,35.3,T4 KTemp C
92,10/1/2021,12:51:28,35.5,T1 KTemp C,35.6,T2 KTemp C,35.6,T3 KTemp C,35.6,T4 KTemp C
93,10/1/2021,12:52:28,35.6,T1 KTemp C,35.8,T2 KTemp C,36.1,T3 KTemp C,35.8,T4 KTemp C
94,10/1/2021,12:53:28,35.9,T1 KTemp C,36,T2 KTemp C,36,T3 KTemp C,36.2,T4 KTemp C
95,10/1/2021,12:54:28,36.2,T1 KTemp C,36.2,T2 KTemp C,36.3,T3 KTemp C,36.4,T4 KTemp C
96,10/1/2021,12:55:28,36.4,T1 KTemp C,36.5,T2 KTemp C,36.7,T3 KTemp C,36.5,T4 KTemp C
97,10/1/2021,12:56:28,36.8,T1 KTemp C,36.9,T2 KTemp C,36.8,T3 KTemp C,36.9,T4 KTemp C
98,10/1/2021,12:57:28,37,T1 KTemp C,37.1,T2 KTemp C,37.2,T3 KTemp C,37.2,T4 KTemp C
99,10/1/2021,12:58:28,37.5,T1 KTemp C,37.5,T2 KTemp C,37.7,T3 KTemp C,37.6,T4 KTemp C
100,10/1/2021,12:59:28,37.7,T1 KTemp C,37.9,T2 KTemp C,37.8,T3 KTemp C,37.7,T4 KTemp C
101,10/1/2021,13:00:28,38.1,T1 KTemp C,38.1,T2 KTemp C,38.1,T3 KTemp C,38.2,T4 KTemp C
102,10/1/2021,13:01:28,38.1,T1 KTemp C,38.3,T2 KTemp C,38.3,T3 KTemp C,38.3,T4 KTemp C
103,10/1/2021,13:02:28,38.8,T1 KTemp C,38.7,T2 KTemp C,38.7,T3 KTemp C,38.6,T4 KTemp C
104,10/1/2021,13:03:28,38.9,T1 KTemp C,38.9,T2 KTemp C,38.9,T3 KTemp C,38.9,T4 KTemp C
105,10/1/2021,13:04:28,39.1,T1 KTemp C,39.1,T2 KTemp C,39.3,T3 KTemp C,39.2,T4 KTemp C
106,10/1/2021,13:05:28,39.2,T1 KTemp C,39.4,T2 KTemp C,39.4,T3 KTemp C,39.5,T4 KTemp C
107,10/1/2021,13:06:28,39.7,T1 KTemp C,39.8,T2 KTemp C,39.8,T3 KTemp C,39.9,T4 KTemp C
108,10/1/2021,13:07:28,39.9,T1 KTemp C,39.9,T2 KTemp C,40.1,T3 KTemp C,40,T4 KTemp C
109,10/1/2021,13:08:28,40.3,T1 KTemp C,40.4,T2 KTemp C,40.2,T3 KTemp C,40.4,T4 KTemp C
110,10/1/2021,13:09:28,40.4,T1 KTemp C,40.5,T2 KTemp C,40.4,T3 KTemp C,40.4,T4 KTemp C
111,10/1/2021,13:10:28,40.6,T1 KTemp C,40.6,T2 KTemp C,40.6,T3 KTemp C,40.7,T4 KTemp C
112,10/1/2021,13:11:28,40.9,T1 KTemp C,40.9,T2 KTemp C,41,T3 KTemp C,41,T4 KTemp C
113,10/1/2021,13:12:28,41,T1 KTemp C,41.2,T2 KTemp C,41,T3 KTemp C,41.1,T4 KTemp C
