Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit
79,1/8/2022,11:28:57,32.7,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
80,1/8/2022,11:29:57,33,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
81,1/8/2022,11:30:57,33.2,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
82,1/8/2022,11:31:57,33.4,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
83,1/8/2022,11:32:57,33.5,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
84,1/8/2022,11:33:57,33.9,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
85,1/8/2022,11:34:57,34.1,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
86,1/8/2022,11:35:57,34.1,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
87,1/8/2022,11:36:57,34.5,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
88,1/8/2022,11:37:57,34.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
89,1/8/2022,11:38:57,34.9,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
90,1/8/2022,11:39:57,35.2,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
91,1/8/2022,11:40:57,35.4,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
92,1/8/2022,11:41:57,35.6,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
93,1/8/2022,11:42:57,35.9,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
94,1/8/2022,11:43:57,36.1,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
95,1/8/2022,11:44:57,36.3,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
96,1/8/2022,11:45:57,36.8,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
97,1/8/2022,11:46:57,37.1,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
98,1/8/2022,11:47:57,37.3,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
99,1/8/2022,11:48:57,37.7,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
100,1/8/2022,11:49:57,38,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
101,1/8/2022,11:50:57,38.7,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
102,1/8/2022,11:51:57,39,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
103,1/8/2022,11:52:57,39.6,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
104,1/8/2022,11:53:57,39.7,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
105,1/8/2022,11:54:57,40,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
106,1/8/2022,11:55:57,40.4,T1 KTemp C,9999,T2 KTemp C,9999,T3 KTemp C,9999,T4 KTemp C
