Place,Date,Time,Value_Cloacal,Unit,Thermocouple_Cloacal,Value_Dorsal,Unit,Thermocouple_Dorsal,Value,Unit,Value,Unit,Lizard
113,10/18/2021,13:28:24,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
114,10/18/2021,13:28:25,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
115,10/18/2021,13:28:26,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
116,10/18/2021,13:28:27,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
117,10/18/2021,13:28:28,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
118,10/18/2021,13:28:29,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
119,10/18/2021,13:28:30,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
120,10/18/2021,13:28:31,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
121,10/18/2021,13:28:32,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
122,10/18/2021,13:28:33,24.4,T1 KTemp C,E,24.5,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
123,10/18/2021,13:28:34,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
124,10/18/2021,13:28:35,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
125,10/18/2021,13:28:36,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
126,10/18/2021,13:28:37,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
127,10/18/2021,13:28:38,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
128,10/18/2021,13:28:39,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
129,10/18/2021,13:28:40,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
130,10/18/2021,13:28:41,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
131,10/18/2021,13:28:42,24.4,T1 KTemp C,E,24.6,T2 KTemp C,A,9999,T3 KTemp C,9999,T4 KTemp C,425
