Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit
39,6/21/22,12:51:32,9.5,T1 KTemp C,8.8,T2 KTemp C,9.5,T3 KTemp C,8.6,T4 KTemp C
40,6/21/22,12:52:32,9.1,T1 KTemp C,9,T2 KTemp C,8,T3 KTemp C,8.9,T4 KTemp C
41,6/21/22,12:53:32,9.7,T1 KTemp C,3.2,T2 KTemp C,10.1,T3 KTemp C,9.9,T4 KTemp C
42,6/21/22,12:54:32,9.7,T1 KTemp C,1.3,T2 KTemp C,10,T3 KTemp C,9.8,T4 KTemp C
43,6/21/22,12:55:32,9.9,T1 KTemp C,1.7,T2 KTemp C,9.9,T3 KTemp C,10.1,T4 KTemp C
44,6/21/22,12:56:32,10.7,T1 KTemp C,10,T2 KTemp C,10.3,T3 KTemp C,10.1,T4 KTemp C
45,6/21/22,12:57:32,10.7,T1 KTemp C,10.9,T2 KTemp C,10.5,T3 KTemp C,10.5,T4 KTemp C
46,6/21/22,12:58:32,11.1,T1 KTemp C,11.3,T2 KTemp C,11.3,T3 KTemp C,11.2,T4 KTemp C
47,6/21/22,12:59:32,11.7,T1 KTemp C,11.7,T2 KTemp C,11.8,T3 KTemp C,11.4,T4 KTemp C
48,6/21/22,13:00:32,12.4,T1 KTemp C,12.3,T2 KTemp C,12,T3 KTemp C,12.2,T4 KTemp C
49,6/21/22,13:01:32,13.4,T1 KTemp C,13.1,T2 KTemp C,13.2,T3 KTemp C,13,T4 KTemp C
50,6/21/22,13:02:32,13.9,T1 KTemp C,14.1,T2 KTemp C,13.9,T3 KTemp C,13.6,T4 KTemp C
51,6/21/22,13:03:32,14.5,T1 KTemp C,14.2,T2 KTemp C,14.3,T3 KTemp C,14.4,T4 KTemp C
52,6/21/22,13:04:32,15.4,T1 KTemp C,14.9,T2 KTemp C,15.1,T3 KTemp C,14.8,T4 KTemp C
53,6/21/22,13:05:32,16,T1 KTemp C,15.8,T2 KTemp C,15.9,T3 KTemp C,15.7,T4 KTemp C
54,6/21/22,13:06:32,16.3,T1 KTemp C,16.5,T2 KTemp C,16.5,T3 KTemp C,16.4,T4 KTemp C
55,6/21/22,13:07:32,17.3,T1 KTemp C,17.3,T2 KTemp C,17.6,T3 KTemp C,17.1,T4 KTemp C
56,6/21/22,13:08:32,17.9,T1 KTemp C,18,T2 KTemp C,18.1,T3 KTemp C,17.8,T4 KTemp C
57,6/21/22,13:09:32,18.5,T1 KTemp C,18.5,T2 KTemp C,18.5,T3 KTemp C,18.4,T4 KTemp C
58,6/21/22,13:10:32,19,T1 KTemp C,19.1,T2 KTemp C,19.5,T3 KTemp C,19.1,T4 KTemp C
59,6/21/22,13:11:32,20.5,T1 KTemp C,19.6,T2 KTemp C,19.6,T3 KTemp C,19.9,T4 KTemp C
60,6/21/22,13:12:32,20.2,T1 KTemp C,20.3,T2 KTemp C,20.4,T3 KTemp C,20,T4 KTemp C
61,6/21/22,13:13:32,20.8,T1 KTemp C,20.8,T2 KTemp C,21,T3 KTemp C,20.9,T4 KTemp C
62,6/21/22,13:14:32,21.6,T1 KTemp C,21.3,T2 KTemp C,21.9,T3 KTemp C,21.5,T4 KTemp C
63,6/21/22,13:15:32,22.2,T1 KTemp C,22.4,T2 KTemp C,22.2,T3 KTemp C,22.1,T4 KTemp C
64,6/21/22,13:16:32,22.9,T1 KTemp C,22.6,T2 KTemp C,22.8,T3 KTemp C,22.7,T4 KTemp C
65,6/21/22,13:17:32,23.5,T1 KTemp C,23.5,T2 KTemp C,23.7,T3 KTemp C,23.5,T4 KTemp C
66,6/21/22,13:18:32,24,T1 KTemp C,23.7,T2 KTemp C,23.8,T3 KTemp C,23.9,T4 KTemp C
67,6/21/22,13:19:32,24.2,T1 KTemp C,24.3,T2 KTemp C,24.4,T3 KTemp C,24.4,T4 KTemp C
68,6/21/22,13:20:32,25.9,T1 KTemp C,25.1,T2 KTemp C,25.2,T3 KTemp C,25.1,T4 KTemp C
69,6/21/22,13:21:32,25.5,T1 KTemp C,25.5,T2 KTemp C,25.7,T3 KTemp C,25.6,T4 KTemp C
70,6/21/22,13:22:32,26.2,T1 KTemp C,26.2,T2 KTemp C,26.4,T3 KTemp C,26.4,T4 KTemp C
71,6/21/22,13:23:32,26.7,T1 KTemp C,26.6,T2 KTemp C,26.7,T3 KTemp C,26.8,T4 KTemp C
72,6/21/22,13:24:32,27.1,T1 KTemp C,27.1,T2 KTemp C,27.3,T3 KTemp C,27.2,T4 KTemp C
73,6/21/22,13:25:32,27.8,T1 KTemp C,27.8,T2 KTemp C,27.8,T3 KTemp C,28,T4 KTemp C
74,6/21/22,13:26:32,28.4,T1 KTemp C,28.2,T2 KTemp C,28.4,T3 KTemp C,28.4,T4 KTemp C
75,6/21/22,13:27:32,28.9,T1 KTemp C,29,T2 KTemp C,29.2,T3 KTemp C,29,T4 KTemp C
76,6/21/22,13:28:32,29.2,T1 KTemp C,29.4,T2 KTemp C,29.5,T3 KTemp C,29.5,T4 KTemp C
77,6/21/22,13:29:32,30,T1 KTemp C,30.2,T2 KTemp C,30.5,T3 KTemp C,30.1,T4 KTemp C
78,6/21/22,13:30:32,30.3,T1 KTemp C,30.5,T2 KTemp C,30.6,T3 KTemp C,30.8,T4 KTemp C
79,6/21/22,13:31:32,31,T1 KTemp C,31.1,T2 KTemp C,31.5,T3 KTemp C,31.3,T4 KTemp C
80,6/21/22,13:32:32,31.4,T1 KTemp C,31.6,T2 KTemp C,31.8,T3 KTemp C,31.8,T4 KTemp C
81,6/21/22,13:33:32,32,T1 KTemp C,32.3,T2 KTemp C,32.4,T3 KTemp C,32.3,T4 KTemp C
82,6/21/22,13:34:32,32.6,T1 KTemp C,32.6,T2 KTemp C,32.7,T3 KTemp C,32.7,T4 KTemp C
83,6/21/22,13:35:32,33,T1 KTemp C,33.1,T2 KTemp C,33.5,T3 KTemp C,33.1,T4 KTemp C
84,6/21/22,13:36:32,33.6,T1 KTemp C,33.4,T2 KTemp C,33.7,T3 KTemp C,33.7,T4 KTemp C
85,6/21/22,13:37:32,34.1,T1 KTemp C,34.1,T2 KTemp C,34.4,T3 KTemp C,34.3,T4 KTemp C
86,6/21/22,13:38:32,34.5,T1 KTemp C,34.7,T2 KTemp C,34.9,T3 KTemp C,34.8,T4 KTemp C
87,6/21/22,13:39:32,35.3,T1 KTemp C,35.3,T2 KTemp C,35.5,T3 KTemp C,35.4,T4 KTemp C
88,6/21/22,13:40:32,35.7,T1 KTemp C,35.7,T2 KTemp C,35.8,T3 KTemp C,35.8,T4 KTemp C
89,6/21/22,13:41:32,36.2,T1 KTemp C,36.3,T2 KTemp C,36.5,T3 KTemp C,36.5,T4 KTemp C
90,6/21/22,13:42:32,36.7,T1 KTemp C,36.6,T2 KTemp C,37.1,T3 KTemp C,36.8,T4 KTemp C
91,6/21/22,13:43:32,37.3,T1 KTemp C,37.2,T2 KTemp C,37.4,T3 KTemp C,37.5,T4 KTemp C
92,6/21/22,13:44:32,37.6,T1 KTemp C,38,T2 KTemp C,38.3,T3 KTemp C,38,T4 KTemp C
93,6/21/22,13:45:32,38,T1 KTemp C,38.3,T2 KTemp C,38.5,T3 KTemp C,38.4,T4 KTemp C
94,6/21/22,13:46:32,38.5,T1 KTemp C,39,T2 KTemp C,39,T3 KTemp C,39.2,T4 KTemp C
95,6/21/22,13:47:32,39.3,T1 KTemp C,39,T2 KTemp C,39.2,T3 KTemp C,39.3,T4 KTemp C
96,6/21/22,13:48:32,39.9,T1 KTemp C,40,T2 KTemp C,40.2,T3 KTemp C,39.9,T4 KTemp C
97,6/21/22,13:49:32,40.5,T1 KTemp C,40.3,T2 KTemp C,40.5,T3 KTemp C,40.5,T4 KTemp C
98,6/21/22,13:50:32,40.6,T1 KTemp C,40.9,T2 KTemp C,41.1,T3 KTemp C,40.9,T4 KTemp C
99,6/21/22,13:51:32,41.2,T1 KTemp C,41.4,T2 KTemp C,41.5,T3 KTemp C,41.8,T4 KTemp C
100,6/21/22,13:52:32,41.6,T1 KTemp C,41.9,T2 KTemp C,42.2,T3 KTemp C,41.9,T4 KTemp C
101,6/21/22,13:53:32,42.2,T1 KTemp C,42.6,T2 KTemp C,42.8,T3 KTemp C,42.8,T4 KTemp C
102,6/21/22,13:54:32,42.9,T1 KTemp C,42.7,T2 KTemp C,43,T3 KTemp C,42.9,T4 KTemp C
